Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-07-26,2016,7,26,Tuesday,30,2016-30,58.58,58.84,58.2,58.31,10106700,51.58,0.006212507523051247,50.65500000000001,49.4418
2016-07-27,2016,7,27,Wednesday,30,2016-30,58.38,58.4,57.67,57.85,6551800,51.18,-0.007889110220656637,50.714999999999996,49.48299999999999
2016-07-28,2016,7,28,Thursday,30,2016-30,57.88,58.31,57.74,58.21,6830100,51.49,0.006223022821502333,50.82214285714286,49.5418
2016-07-29,2016,7,29,Friday,30,2016-30,58.18,58.43,57.92,58.05,6914900,51.35,-0.002748575800961661,50.93142857142857,49.5992
2016-08-01,2016,8,1,Monday,31,2016-31,58.0,58.05,57.43,57.63,7997600,50.98,-0.007235240703235668,50.94071428571429,49.6536
2016-08-02,2016,8,2,Tuesday,31,2016-31,57.25,57.34,56.54,56.73,7574600,50.36,-0.012188719837228357,50.96928571428572,49.6944
2016-08-03,2016,8,3,Wednesday,31,2016-31,56.46,56.59,55.72,55.94,11484800,49.66,-0.013925744713213395,50.87714285714286,49.721599999999995
2016-08-04,2016,8,4,Thursday,31,2016-31,56.05,56.29,55.38,55.42,11193700,49.2,-0.009295615601774498,50.76357142857143,49.724799999999995
2016-08-05,2016,8,5,Friday,31,2016-31,55.8,56.12,55.52,55.9,9206200,49.62,0.008661334777418928,50.71142857142856,49.741400000000006
2016-08-08,2016,8,8,Monday,32,2016-32,55.97,55.99,55.17,55.36,9129300,49.14,-0.009660339879209223,50.635000000000005,49.746
2016-08-09,2016,8,9,Tuesday,32,2016-32,55.39,55.71,55.18,55.2,7136700,49.0,-0.0028902149140337396,50.49928571428571,49.75020000000001
2016-08-10,2016,8,10,Wednesday,32,2016-32,55.37,55.71,55.11,55.62,6991100,49.37,0.007608707921695768,50.386428571428574,49.766400000000004
2016-08-11,2016,8,11,Thursday,32,2016-32,55.75,55.96,55.46,55.47,6191400,49.24,-0.0026967655733093343,50.245,49.781200000000005
2016-08-12,2016,8,12,Friday,32,2016-32,55.27,55.75,55.23,55.47,5039800,49.24,0.0,50.10071428571428,49.7996
2016-08-15,2016,8,15,Monday,33,2016-33,55.65,55.7,55.18,55.25,5968700,49.05,-0.003966106353563537,49.92,49.814400000000006
2016-08-16,2016,8,16,Tuesday,33,2016-33,55.25,55.57,54.92,55.37,5750900,49.15,0.0021719378321003457,49.775,49.81379999999999
2016-08-17,2016,8,17,Wednesday,33,2016-33,55.77,55.92,55.43,55.8,7410600,49.53,0.007765787276737379,49.635,49.826
2016-08-18,2016,8,18,Thursday,33,2016-33,55.78,55.9,55.49,55.53,5390800,49.29,-0.004838596645249882,49.48785714285714,49.834799999999994
2016-08-19,2016,8,19,Friday,33,2016-33,55.46,55.56,54.85,54.94,8981200,48.77,-0.010624933255122482,49.33,49.82679999999999
2016-08-22,2016,8,22,Monday,34,2016-34,54.98,55.92,54.95,55.85,8837800,49.58,0.016563576135579128,49.27428571428571,49.84759999999999
2016-08-23,2016,8,23,Tuesday,34,2016-34,56.17,56.54,56.0,56.4,7827900,50.07,0.009847880329376224,49.30357142857143,49.87520000000001
2016-08-24,2016,8,24,Wednesday,34,2016-34,57.0,57.98,56.95,57.09,13200500,50.68,0.01223386447547603,49.40928571428571,49.90559999999999
2016-08-25,2016,8,25,Thursday,34,2016-34,57.04,57.45,56.9,57.29,6686600,50.86,0.003503554475168702,49.49785714285714,49.943599999999996
2016-08-26,2016,8,26,Friday,34,2016-34,57.48,57.83,57.0,57.29,6940500,50.86,0.0,49.62071428571428,49.9784
2016-08-29,2016,8,29,Monday,35,2016-35,57.22,57.48,56.61,56.8,7026700,50.42,-0.008553237416601411,49.72214285714285,50.00820000000001
2016-08-30,2016,8,30,Tuesday,35,2016-35,56.66,56.75,56.01,56.4,6377700,50.07,-0.007042127784485874,49.77214285714286,50.029799999999994
2016-08-31,2016,8,31,Wednesday,35,2016-35,56.31,56.42,55.91,56.23,6996900,49.92,-0.0030143702021165897,49.82071428571429,50.0408
2016-09-01,2016,9,1,Thursday,35,2016-35,56.3,56.56,55.83,56.31,6230100,49.99,0.0014229778830872064,49.87428571428571,50.0568
2016-09-02,2016,9,2,Friday,35,2016-35,56.52,56.65,55.99,56.18,7441500,49.87,-0.0023086336043859346,49.93285714285714,50.0612
2016-09-06,2016,9,6,Tuesday,36,2016-36,56.18,56.42,55.69,56.02,6472900,49.73,-0.0028480289634005285,49.97428571428571,50.0884
2016-09-07,2016,9,7,Wednesday,36,2016-36,56.19,56.6,56.12,56.32,11428600,50.0,0.005355018717251747,50.00785714285714,50.138400000000004
2016-09-08,2016,9,8,Thursday,36,2016-36,56.1,56.15,55.2,55.3,12673600,49.09,-0.018110465300374745,49.99357142857143,50.1498
2016-09-09,2016,9,9,Friday,36,2016-36,55.14,55.2,54.3,54.35,10658100,48.25,-0.017179197471096752,49.95642857142857,50.111
2016-09-12,2016,9,12,Monday,37,2016-37,53.92,54.79,53.92,54.71,11002500,48.57,0.006623710916350056,49.88428571428572,50.0718
2016-09-13,2016,9,13,Tuesday,37,2016-37,54.39,54.55,53.75,53.98,10050200,47.92,-0.013343183951577187,49.730714285714285,50.021800000000006
2016-09-14,2016,9,14,Wednesday,37,2016-37,54.26,54.35,53.8,53.9,6688400,47.85,-0.0014818924917446852,49.52857142857143,49.974399999999996
2016-09-15,2016,9,15,Thursday,37,2016-37,53.96,54.13,53.54,54.11,8076800,48.03,0.003896029865203987,49.32642857142857,49.931000000000004
2016-09-16,2016,9,16,Friday,37,2016-37,53.94,54.09,53.41,53.74,10207800,47.71,-0.0068378916498099684,49.10142857142858,49.8784
2016-09-19,2016,9,19,Monday,38,2016-38,53.96,53.97,52.9,53.01,9231600,47.06,-0.013584026792067716,48.861428571428576,49.81980000000001
2016-09-20,2016,9,20,Tuesday,38,2016-38,53.4,53.44,53.05,53.3,8731500,47.32,0.005471018275746475,48.665000000000006,49.7698
2016-09-21,2016,9,21,Wednesday,38,2016-38,53.43,54.03,53.28,53.98,9213600,47.92,0.012757628915034847,48.52214285714286,49.7112
2016-09-22,2016,9,22,Thursday,38,2016-38,54.2,54.6,53.97,54.39,9096700,48.28,0.007595664260399149,48.4,49.677600000000005
2016-09-23,2016,9,23,Friday,38,2016-38,54.0,54.56,54.0,54.43,6945100,48.32,0.0007354792039284686,48.28928571428572,49.625
